position,edge_id,osm_way_id,osm_url,piece_index,direction,from_node,to_node,name,highway,travelled_m,route_start_m,route_end_m,entered,start_elevation_m,end_elevation_m,net_dz_m,descent_m,ascent_m,mean_grade_ratio,surface_class,surface_is_assumed,usability,usability_reason,structure_status,start_lat,start_lon,end_lat,end_lon,tag_bridge,tag_tunnel,tag_covered,tag_layer,tag_tracktype,tag_surface,tag_smoothness
21,osm-1040486390-0-forward,1040486390,https://www.openstreetmap.org/way/1040486390,0,forward,9580296743,340035215,Avenue de l'Étendard,tertiary,31.79,3168.57,3200.36,True,1823.96,1823.32,-0.64,0.64,0.0,-0.02013,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092634,6.071848,45.092496,6.071496,,,,,,asphalt,
22,osm-28476170-1-reverse,28476170,https://www.openstreetmap.org/way/28476170,1,reverse,340035215,567541729,Avenue de l'Étendard,tertiary,145.43,3200.36,3345.79,True,1823.32,1822.5,-0.82,0.85,0.03,-0.00564,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092496,6.071496,45.092485,6.069663,,,,,,asphalt,
23,osm-91229843-6-reverse,91229843,https://www.openstreetmap.org/way/91229843,6,reverse,567541729,1058948959,Promenade Clotaire Collomb,residential,63.61,3345.79,3409.4,True,1822.5,1819.65,-2.85,2.85,0.0,-0.04485,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092485,6.069663,45.091997,6.069243,,,,,,asphalt,
24,osm-1054770671-0-forward,1054770671,https://www.openstreetmap.org/way/1054770671,0,forward,1058948959,11482790610,Rue de la Grenouillère,residential,52.6,3409.4,3462.0,True,1819.65,1820.18,0.53,-0.0,0.53,0.01008,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091997,6.069243,45.092165,6.068619,,,,,,asphalt,
25,osm-1054770671-1-forward,1054770671,https://www.openstreetmap.org/way/1054770671,1,forward,11482790610,340035269,Rue de la Grenouillère,residential,35.64,3462.0,3497.64,True,1820.18,1820.15,-0.03,0.03,0.0,-0.00084,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092165,6.068619,45.092278,6.068195,,,,,,asphalt,
26,osm-28476168-2-forward,28476168,https://www.openstreetmap.org/way/28476168,2,forward,340035269,11482798004,Avenue des Jeux,unclassified,71.78,3497.64,3569.42,True,1820.15,1819.02,-1.13,1.13,0.0,-0.01575,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.092278,6.068195,45.091655,6.067954,,,,,,asphalt,
27,osm-28476168-3-forward,28476168,https://www.openstreetmap.org/way/28476168,3,forward,11482798004,11482815772,Avenue des Jeux,unclassified,105.26,3569.42,3674.67,True,1819.02,1816.38,-2.64,2.64,0.0,-0.02509,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.091655,6.067954,45.090727,6.068084,,,,,,asphalt,
28,osm-28476168-4-forward,28476168,https://www.openstreetmap.org/way/28476168,4,forward,11482815772,312824025,Avenue des Jeux,unclassified,69.49,3674.67,3744.16,True,1816.38,1807.36,-9.02,9.02,0.0,-0.131,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090727,6.068084,45.090126,6.068301,,,,,,asphalt,
29,osm-119740916-0-forward,119740916,https://www.openstreetmap.org/way/119740916,0,forward,312824025,312824035,Avenue de Brandes,residential,63.97,3744.16,3808.13,True,1807.36,1808.23,0.87,-0.0,0.87,0.0136,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090126,6.068301,45.090187,6.069107,,,,,,asphalt,
30,osm-119740916-1-forward,119740916,https://www.openstreetmap.org/way/119740916,1,forward,312824035,312353228,Avenue de Brandes,residential,11.24,3808.13,3819.37,True,1808.23,1808.24,0.01,-0.0,0.01,0.00089,asphalt_good,False,paved_reference,"surface=asphalt, smoothness unstated",normal,45.090187,6.069107,45.090197,6.069249,,,,,,asphalt,
